run,best_found,true_value,error,best_position
1,tensor(2.4953),0.0,tensor(2.4953),"[[0.05371963977813721], [-0.306704580783844], [0.012558430433273315], [-0.6433466076850891], [-0.05544290319085121]]"
1,tensor(2.0027e-05),0.0,tensor(2.0027e-05),"[[2.3365498691418907e-07], [-5.667901859851554e-06], [9.000880709209014e-06], [-5.334862180461641e-06], [1.5942034679028438e-06]]"
1,tensor(9.5367e-07),0.0,tensor(9.5367e-07),"[[-1.2653882777158287e-06], [5.788272119389148e-07], [5.198739927436691e-07], [1.7416493847122183e-07], [9.3105654741521e-08]]"
1,tensor(4.7684e-06),0.0,tensor(4.7684e-06),"[[-4.037739245177363e-07], [6.10754796070978e-07], [1.957261872576055e-07], [-2.430037966405507e-06], [2.136204329872271e-06]]"
1,tensor(4.7684e-06),0.0,tensor(4.7684e-06),"[[1.91908065971802e-06], [-1.9801000235020183e-06], [-1.4428351278183982e-06], [5.888282998967043e-07], [-1.3619778655993287e-06]]"
1,tensor(9.5367e-07),0.0,tensor(9.5367e-07),"[[4.915659701509867e-08], [-5.121250978845637e-08], [-6.845666575827636e-07], [3.3360925044689793e-07], [-5.964803904134897e-07]]"
1,tensor(4.7684e-06),0.0,tensor(4.7684e-06),"[[-7.765336818010837e-07], [-6.634422788920347e-07], [-2.4741743800404947e-06], [7.754133548587561e-07], [-1.5978250758053036e-06]]"
2,tensor(9.5367e-07),0.0,tensor(9.5367e-07),"[[1.4931356417946517e-07], [-6.314691063380451e-07], [-8.962027777670301e-07], [-4.4064506710128626e-07], [-8.502352102368604e-07]]"
3,tensor(9.5367e-07),0.0,tensor(9.5367e-07),"[[9.40842141972098e-08], [-1.689757311851281e-07], [1.0672775943021406e-06], [-8.448068911093287e-09], [9.893236665448057e-07]]"
1,tensor(3.5648),0.0,tensor(3.5648),"[[-0.2799110412597656], [-0.46266329288482666], [0.170579195022583], [-0.22857117652893066], [0.9588204622268677]]"
2,tensor(1.7291),0.0,tensor(1.7291),"[[-0.2657507061958313], [0.09427940845489502], [-0.22966456413269043], [-0.12481024861335754], [-0.024662554264068604]]"
3,tensor(2.4184),0.0,tensor(2.4184),"[[-0.25253233313560486], [-0.032819390296936035], [0.01715874671936035], [0.7346571683883667], [0.13106361031532288]]"
1,tensor(4.7684e-06),0.0,tensor(4.7684e-06),"[[-7.971736977196997e-07], [-2.2032872948329896e-06], [-1.1350739441695623e-06], [4.161382776146638e-07], [-6.266275249799946e-07]]"
1,tensor(9.5367e-07),0.0,tensor(9.5367e-07),"[[-1.8430841919325758e-07], [1.2857077535954886e-07], [-7.24197434465168e-07], [-7.17849161446793e-07], [7.096867875588941e-07]]"
