run,best_found,true_value,error,best_position
1,tensor(6.0004),0.0,tensor(6.0004),"[[-1.0028260946273804], [-0.9352959394454956], [-1.0038981437683105], [-1.0760350227355957], [0.008680950850248337]]"
1,tensor(6.9647),0.0,tensor(6.9647),"[[0.9951019883155823], [4.955567419528961e-05], [-0.9949721097946167], [-1.9898829460144043], [0.9949175715446472]]"
1,tensor(1.9955),0.0,tensor(1.9955),"[[0.9918791651725769], [0.0007624656427651644], [0.00019464181968942285], [-0.9971430897712708], [-0.0036395688075572252]]"
1,tensor(1.9899),0.0,tensor(1.9899),"[[-3.3567892387509346e-05], [-0.9950140714645386], [2.338646663702093e-05], [3.689075310830958e-05], [-0.9949246644973755]]"
1,tensor(20.8940),0.0,tensor(20.8940),"[[-0.9949725270271301], [1.9480332412058488e-05], [3.9798080921173096], [6.0745667724404484e-05], [1.9900381565093994]]"
1,tensor(4.9750),0.0,tensor(4.9750),"[[-0.00010481753997737542], [-0.00021284984541125596], [0.0007826926885172725], [0.9949501752853394], [-1.9892412424087524]]"
1,tensor(2.9849),0.0,tensor(2.9849),"[[0.9948213696479797], [8.670982788316905e-05], [3.993778955191374e-05], [-0.9949361681938171], [-0.9949830770492554]]"
2,tensor(3.9798),0.0,tensor(3.9798),"[[-2.816035339492373e-05], [4.721357981907204e-05], [-8.523003634763882e-05], [-5.290006811264902e-06], [1.989948034286499]]"
3,tensor(6.9647),0.0,tensor(6.9647),"[[0.9951019883155823], [4.955567419528961e-05], [-0.9949721097946167], [-1.9898829460144043], [0.9949175715446472]]"
1,tensor(5.0972),0.0,tensor(5.0972),"[[0.9723522067070007], [1.0342020988464355], [0.9653906226158142], [-0.943890392780304], [0.011911623179912567]]"
2,tensor(6.1527),0.0,tensor(6.1527),"[[1.0336766242980957], [-0.060582682490348816], [0.8875422477722168], [-0.0289301760494709], [-0.06369149684906006]]"
3,tensor(8.7110),0.0,tensor(8.7110),"[[-0.9889101982116699], [0.975994348526001], [0.16961631178855896], [-0.037223100662231445], [1.0254327058792114]]"
1,tensor(5.9697),0.0,tensor(5.9697),"[[-4.9728208978194743e-05], [-0.9949525594711304], [-0.9949852824211121], [1.9898700714111328], [-3.1130111892707646e-06]]"
1,tensor(1.9899),0.0,tensor(1.9899),"[[-0.9949352145195007], [-2.906313238781877e-05], [-6.216541805770248e-05], [6.522779585793614e-05], [-0.9950013160705566]]"
