run,best_found,true_value,error,best_position
1,tensor(0.0186),0.0,tensor(0.0186),"[[-0.034476663917303085], [0.0732644647359848], [-0.10923812538385391], [-0.01088271290063858], [-0.0029152855277061462]]"
1,tensor(1.4585e-14),0.0,tensor(1.4585e-14),"[[-6.550246922643055e-08], [4.838415179619915e-08], [-8.690875574757229e-09], [3.875470611092169e-08], [7.985242689301231e-08]]"
1,tensor(2.3849e-15),0.0,tensor(2.3849e-15),"[[1.0326818511430247e-08], [4.561315769535668e-09], [5.914602141388059e-09], [-3.032482354115018e-08], [3.609578413943382e-08]]"
1,tensor(2.7344e-13),0.0,tensor(2.7344e-13),"[[2.6855354917643126e-07], [-3.375454582510429e-08], [-3.422171630518278e-07], [2.882144087834604e-07], [1.588773557159584e-10]]"
1,tensor(8.2611e-14),0.0,tensor(8.2611e-14),"[[-5.14050100264285e-08], [2.449853582220385e-07], [-2.9052085182001974e-08], [1.2037776286888402e-07], [-6.794209639338078e-08]]"
1,tensor(3.0956e-15),0.0,tensor(3.0956e-15),"[[-1.0545791795379955e-08], [3.000927861762648e-08], [2.9186907113398775e-08], [3.056706532333919e-08], [1.725206999481088e-08]]"
1,tensor(8.9044e-14),0.0,tensor(8.9044e-14),"[[4.4190116454956296e-08], [1.2253858017174935e-07], [2.2248242714795197e-07], [1.2315713604493794e-07], [8.60776339095537e-08]]"
2,tensor(6.9851e-12),0.0,tensor(6.9851e-12),"[[1.5335715488618007e-06], [-1.0379520745118498e-06], [1.656677568462328e-07], [1.5294114064090536e-06], [-1.0905636145253084e-06]]"
3,tensor(5.9098e-16),0.0,tensor(5.9098e-16),"[[-1.8555891045934914e-08], [-7.587784622842264e-09], [3.503395795689812e-09], [7.7069817194797e-09], [1.0835885078108731e-08]]"
1,tensor(0.0101),0.0,tensor(0.0101),"[[0.006122112274169922], [-0.0013005360960960388], [-0.0728158950805664], [-0.06348694860935211], [0.02687472105026245]]"
2,tensor(0.0309),0.0,tensor(0.0309),"[[-0.11320963501930237], [-0.09803101420402527], [0.03647589683532715], [-0.0536637008190155], [0.06525421142578125]]"
3,tensor(0.0214),0.0,tensor(0.0214),"[[0.045010194182395935], [-0.07171577215194702], [0.07711349427700043], [0.0005450248718261719], [0.09087800979614258]]"
1,tensor(6.3572e-15),0.0,tensor(6.3572e-15),"[[6.414531128484668e-08], [-1.4356423605477175e-08], [-3.5267362363811117e-09], [-3.851540419930188e-09], [4.482441795516934e-08]]"
1,tensor(3.2847e-15),0.0,tensor(3.2847e-15),"[[-1.498612789418985e-08], [1.5227151095587033e-08], [4.990955559946997e-08], [1.4170669970781091e-08], [-1.1683543021945297e-08]]"
